Row,FICE,Name,Postal,Indicator,Average Math SAT Score,Average Verbal SAT Score,Average Combined SAT Score,Average ACT Score,First Quartile Math SAT,Third Quarter Math SAT,First Quartile Verbal SAT,Third Quartile Verbal SAT,First Quartile ACT,Third Quartile ACT,Number of Applications Received,Number of Applicants Accepted,Number of New Students Enrolled,Top 10 percent HS,Top 25 percent HS,Number of Fulltime Undergrad,Number of Parttime Undergrad,In-State Tuition,Out-State Tuition,Room and Board Costs,Room Costs,Board Costs,Additional Fees,Estimated Book Costs,Estimated Personal Spending,Percent of Faculty with Ph.D,Percent of Faculty with Terminal Degree,Student Faculty Ratio,Percent Alumni Donate,Instructional Expenditure per Student,Graduation Rate
327,1786,Ball State University,IN,1,473,422,895,21,400,530,360,470,18,24,9361,7910,3849,38,50,16148,2207,2864,7244,3608,3608,NaN,NaN,500,1500,69,NaN,17.7,25,7449,51
328,1787,Bethel College,IN,2,490,453,943,22,410,570,380,500,18,25,495,415,267,15,37,733,402,9300,9300,3000,1300,1700,NaN,500,NaN,51,54,14.6,38,6392,NaN
329,1788,Butler University,IN,2,544,484,1028,25,480,610,420,540,22,28,2362,2037,700,40,68,2607,148,13130,13130,4650,2480,2170,65,500,1600,77,81,10.9,29,9511,83
330,1792,DePauw University,IN,2,NaN,NaN,NaN,NaN,540,670,490,610,23,28,1994,1656,495,50,80,1983,36,14300,14300,5020,2510,2510,200,550,950,78,94,11.1,31,11525,82
331,1793,Earlham College,IN,2,570,550,1120,25,490,630,480,600,23,29,1358,1006,274,35,63,1028,13,15036,15036,4056,1899,2157,273,600,600,90,94,10.6,46,14634,78
332,1795,University of Evansville,IN,2,538,498,1036,NaN,470,600,420,550,22,27,2096,1626,694,35,67,2551,407,11800,11800,4340,2520,1820,200,700,960,60,81,15.8,26,7780,77
333,1798,Franklin College,IN,2,532,481,1013,22,480,630,430,580,NaN,NaN,804,632,281,29,72,840,68,10390,10390,4040,1790,2250,110,525,1345,54,78,12.5,37,11751,60
334,1799,Goshen College,IN,2,519,487,1006,NaN,410,570,400,550,NaN,NaN,440,396,221,26,51,910,166,9420,9420,3730,1800,1930,NaN,600,1230,51,56,9.9,46,10270,72
335,1800,Grace College and Seminary,IN,2,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,548,428,167,18,46,618,113,8958,8958,3670,1862,1956,NaN,300,1000,53,59,15.3,26,9798,64
336,1801,Hanover College,IN,2,541,486,1040,24,470,600,420,540,21,27,1006,837,317,33,65,1024,15,8200,8200,3485,1540,1945,350,500,1200,84,84,10.6,26,9248,64
337,1803,Huntington College,IN,2,480,422,902,21,480,565,375,458,18,24,450,430,125,20,46,488,43,9950,9950,3920,3920,NaN,250,300,1300,76,76,11.8,25,9466,47
338,1804,University of Indianapolis,IN,2,487,432,919,21,400,570,370,490,18,25,1487,1276,388,26,51,1417,1646,11120,11120,4080,4080,NaN,30,525,1405,55,56,11.1,23,6735,69
339,1805,Indiana Institute of Technology,IN,2,491,446,937,22,410,580,340,470,17,27,1052,810,167,7,47,477,602,8120,8120,3790,3790,NaN,NaN,NaN,NaN,40,60,15.4,15,6111,NaN
340,1808,University of Southern Indiana,IN,1,429,384,813,18,NaN,NaN,NaN,NaN,NaN,NaN,2379,2133,1292,8,25,4283,2973,2040,4973,3192,1660,1532,20,500,1425,56,65,22,21,4078,38
341,1809,Indiana University at Bloomington,IN,1,530,466,996,24,NaN,NaN,NaN,NaN,NaN,NaN,16587,13243,5873,25,72,24763,2717,2984,9766,3990,NaN,NaN,389,600,2000,77,88,21.3,24,8686,68
342,1811,Indiana Univ. East,IN,1,NaN,NaN,NaN,NaN,330,480,320,420,14,23,814,814,616,6,24,988,1356,2369,6140,NaN,NaN,NaN,116,570,NaN,52,76,13.8,29,5153,24
343,1812,Indiana Univ.-Purdue Univ. at Fort Wayne,IN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2464,2306,1714,7,32,4981,5917,2090,5170,NaN,NaN,NaN,91,500,2000,67,84,16,NaN,4843,41
344,1813,Indiana Univ.-Purdue Univ. at Indianapolis,IN,1,428,388,816,19,360,490,330,440,17,21,4630,3655,2301,5,27,9216,11176,2766,8490,NaN,NaN,NaN,212,600,2200,69,85,10.4,39,12803,25
345,1814,Indiana Univ. at Kokomo,IN,1,415,387,802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1108,1086,723,4,26,1139,2070,2369,6140,NaN,NaN,NaN,90,660,NaN,60,79,14.7,31,6303,23
346,1815,Indiana Univ. Northwest,IN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1572,1241,907,5,18,2699,2611,2369,6140,NaN,NaN,NaN,96,500,NaN,56,78,18.2,5,4635,33
347,1816,Indiana Univ. at South Bend,IN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1500,1250,980,10,30,2761,3341,2412,6594,NaN,NaN,NaN,146,600,NaN,69,84,14.4,17,5378,33
348,1817,Indiana Univ. Southeast,IN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1265,1256,911,NaN,NaN,2728,2660,2369,6140,NaN,NaN,NaN,73,500,NaN,76,89,16.7,22,4546,33
349,1820,Manchester College,IN,2,508,442,950,22,440,580,370,500,19,25,1004,802,239,23,63,909,51,10440,10440,3850,1960,1890,350,525,1450,63,72,11.8,20,7940,64
350,1821,Marian College,IN,2,455,412,867,NaN,400,530,380,460,NaN,NaN,770,542,238,15,42,923,427,9990,9990,3822,3822,NaN,164,450,1540,38,46,10.4,NaN,7799,61
351,1822,Indiana Wesleyan University,IN,2,455,408,863,21,NaN,NaN,NaN,NaN,NaN,NaN,735,423,366,20,48,2448,707,9210,9210,3782,1558,2224,NaN,700,1000,49,51,39.8,15,6562,34
352,1824,Oakland City College,IN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,495,465,275,18,35,695,193,7620,7260,2984,998,1986,186,740,900,41,41,11.5,NaN,5514,62
353,1825,Purdue University at West Lafayette,IN,1,545,453,998,24,470,620,390,510,22,27,21804,18744,5874,29,60,26213,4065,2884,9556,3990,NaN,NaN,NaN,570,1060,86,86,18.2,15,8604,67
354,1827,Purdue University Calumet,IN,1,440,450,890,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3831,4186,2374,5521,NaN,NaN,NaN,30,490,NaN,NaN,NaN,NaN,NaN,NaN,NaN
355,1830,Rose-Hulman Institute of Technology,IN,2,670,540,1210,30,600,710,490,600,NaN,NaN,3320,1840,381,73,93,1320,NaN,13380,13380,4206,2070,2136,120,600,600,91,91,13.6,42,13550,97
356,1832,Saint Francis College,IN,2,450,410,860,21,380,530,370,470,18,23,213,166,85,13,36,513,247,8670,8670,3820,3820,NaN,80,450,1000,43,78,12.5,4,7440,48
357,1833,Saint Joseph's College,IN,2,494,423,917,22,430,580,370,480,20,26,920,684,225,24,42,815,222,11200,11200,4250,4250,NaN,330,600,950,55,60,14.8,19,7360,67
358,1834,Calumet College of St. Joseph,IN,2,NaN,NaN,NaN,NaN,310,410,280,440,17,17,225,203,176,13,24,470,627,3960,3960,NaN,NaN,NaN,25,NaN,NaN,37,60,10.6,NaN,4119,NaN
359,1835,Saint Mary-of-the-Woods College,IN,2,422,392,814,20,NaN,NaN,NaN,NaN,NaN,NaN,150,130,88,23,50,341,768,10300,10300,4130,1590,2540,400,500,1700,44,58,10.2,37,9678,75
360,1836,Saint Mary's College,IN,2,538,488,1026,25,490,600,430,530,23,27,888,734,393,26,60,1433,27,12730,12730,4514,2652,1862,901,500,1525,74,95,9.9,31,11165,98
361,1837,Saint Meinrad College,IN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,23,69,44,36,30,44,118,NaN,6004,6004,4226,NaN,NaN,76,400,2100,67,67,4.9,23,NaN,NaN
362,1838,Taylor University,IN,2,579,513,1092,25,570,640,460,560,23,28,1769,1092,437,41,80,1757,81,10965,10965,4000,1900,2100,210,450,1250,60,61,14.2,32,8294,98
363,1839,Tri-State University,IN,2,502,409,911,21,440,570,360,460,18,24,1262,1102,276,14,40,978,98,9456,9456,4350,NaN,NaN,186,468,1323,53,53,12.8,24,7603,65
364,1840,University of Notre Dame,IN,2,650,570,1220,NaN,620,720,540,640,NaN,NaN,7700,3700,1906,79,96,7671,30,16850,16850,4400,4400,NaN,147,600,1350,96,92,13.1,46,13936,97
365,1842,Valparaiso University,IN,2,NaN,NaN,NaN,NaN,530,670,470,590,25,30,2075,1727,520,49,81,2501,198,11800,11800,3260,1300,1960,450,500,800,87,89,14.2,23,9681,95
366,1844,Wabash College,IN,2,NaN,NaN,NaN,NaN,540,660,440,580,NaN,NaN,800,623,256,41,76,801,5,12925,12925,4195,1480,2715,250,500,635,78,85,9.9,55,14904,72
367,9563,Indiana State University,IN,1,434,391,825,20,360,500,330,450,17,22,5659,4761,3147,10,31,8596,1949,2802,6892,3706,NaN,NaN,NaN,600,2500,72,76,16.6,8,6996,40
368,1903,Baker University,KS,2,NaN,NaN,NaN,23,NaN,NaN,NaN,NaN,20,25,602,483,206,21,47,958,466,8620,8620,4100,1900,2200,310,400,2250,58,68,11,21,6136,65
369,1904,Bethany College,KS,2,NaN,NaN,NaN,23,NaN,NaN,NaN,NaN,18,24,878,816,200,16,41,706,62,8740,8740,3363,1463,1900,105,550,1700,62,68,11.6,29,7718,48
370,1905,Bethel College,KS,2,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,19,26,202,184,122,19,42,537,101,8540,8540,3580,1960,1620,200,500,1400,61,80,8.8,32,8324,56
371,1915,Fort Hays State University,KS,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1363,1363,806,NaN,33,3640,706,1734,4869,2950,2950,NaN,NaN,500,NaN,65,68,18.1,NaN,5804,44
372,1918,Friends University,KS,2,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,358,276,172,5,24,838,122,8516,8516,3130,NaN,1910,115,650,NaN,55,30,25,19,4962,49
373,1926,Pittsburg State University,KS,1,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,1419,1313,813,11,30,4469,499,1778,5424,3000,3000,NaN,NaN,300,2000,52,52,23.2,NaN,1834,58
374,1927,Emporia State University,KS,1,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,18,23,1256,1256,853,43,79,3957,588,1729,5401,3144,1512,1632,NaN,450,1888,72,75,19.3,4,5527,50
375,1928,Kansas State University,KS,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,26,5880,4075,2833,25,55,14914,2246,1713,6995,3120,3120,NaN,403,600,2000,76,86,18.5,22,6122,54
376,1929,Kansas Wesleyan University,KS,2,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,589,575,148,16,40,474,258,8400,8400,3250,1850,1400,120,500,1400,63,55,12.4,14,6535,68
377,1933,McPherson College,KS,2,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,420,293,93,11,32,336,80,7950,7950,3750,1550,2200,260,600,2740,54,54,9.8,45,9754,48
378,1937,Ottawa University,KS,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,24,607,388,236,8,19,538,36,7250,7250,3245,1945,1300,NaN,400,2730,47,57,14.5,19,NaN,46
379,1940,Southwestern College,KS,2,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,213,155,75,28,66,504,147,7200,7200,3532,NaN,NaN,NaN,550,1500,56,56,11.8,12,7818,52
380,1943,Saint Mary College,KS,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,26,273,229,66,25,60,439,415,7800,7800,3880,3820,NaN,270,800,NaN,50,80,8.2,45,7364,53
381,1945,Sterling College,KS,2,441,402,843,22,NaN,NaN,NaN,NaN,NaN,NaN,479,373,127,20,43,631,133,8280,8280,3260,NaN,NaN,100,500,NaN,50,50,16.1,29,10049,36
382,1946,Tabor College,KS,2,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,257,183,109,19,41,396,38,7850,7850,3410,2010,1400,200,400,1500,55,70,10,15,7233,53
383,1948,University of Kansas,KS,1,NaN,NaN,NaN,23,NaN,NaN,NaN,NaN,20,26,8579,5561,3681,25,50,17880,1673,1650,6994,3384,NaN,NaN,388,700,2681,88,94,13.7,17,9657,57
384,1949,Washburn University,KS,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1100,1078,560,NaN,36,3157,2705,2790,4774,3210,1410,1800,32,450,1000,82,82,13.8,NaN,5828,53
385,1950,Wichita State University,KS,1,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,18,24,2901,2236,896,NaN,39,6550,5083,1650,6994,3299,NaN,NaN,465,450,350,82,87,20.4,17,5950,32
386,7032,MidAmerica Nazarene College,KS,2,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,18,24,331,331,225,15,36,1100,166,6840,6840,3720,NaN,NaN,472,1100,4913,33,33,15.4,20,5524,49
387,10256,Benedictine College,KS,2,NaN,NaN,NaN,NaN,400,470,430,540,19,27,632,620,222,14,24,702,501,9550,9550,3850,2250,1600,210,350,250,64,84,14.1,18,5922,58
388,1951,Alice Lloyd College,KY,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,24,1174,607,289,20,45,555,24,NaN,3800,2480,1100,1380,300,500,800,56,56,19.4,NaN,6616,31
389,1952,Asbury College,KY,2,513,476,989,23,430,570,430,520,21,25,643,509,280,26,56,1110,39,8988,8988,2764,1226,1538,125,500,1600,61,70,12.1,36,7741,NaN
390,1954,Bellarmine College,KY,2,515,474,989,23,460,580,410,540,20,26,807,707,308,39,63,1198,605,8840,8840,2950,1950,1000,100,750,1290,74,82,13.1,31,6668,84
391,1955,Berea College,KY,2,514,465,979,22,NaN,NaN,NaN,NaN,NaN,NaN,1836,599,455,35,60,1540,51,NaN,NaN,2835,1355,1480,188,450,1027,77,81,13.2,34,11719,57
392,1958,Brescia College,KY,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,24,307,260,99,17,42,452,249,7500,7500,3200,3200,NaN,NaN,650,NaN,49,54,10.1,57,6554,56
393,1959,Campbellsville College,KY,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,25,848,587,298,25,55,935,184,6060,6060,3070,1850,1220,NaN,600,1300,62,66,17.7,13,5391,49
394,1960,Spalding University,KY,2,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,283,201,97,10,45,589,263,8400,8400,2800,NaN,NaN,96,600,900,50,56,10.6,40,6860,89
395,1961,Centre College,KY,2,575,534,1109,27,500,650,480,590,25,29,1013,888,288,55,82,943,7,11850,11850,4270,2120,2150,350,600,900,95,99,11.4,60,13118,74
396,1962,Cumberland College,KY,2,470,420,890,21,410,540,350,480,18,24,995,789,398,26,47,1306,122,6230,6230,3526,3526,NaN,32,400,600,42,44,13,4,8189,63
397,1963,Eastern Kentucky University,KY,1,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,5443,5135,2445,NaN,NaN,11208,3350,1700,4700,3196,1960,1236,NaN,600,NaN,82,82,19.8,NaN,5394,39
398,1964,Georgetown College,KY,2,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,20,26,727,693,286,30,55,1063,48,8000,8100,3950,1975,1975,50,550,550,73,76,13.3,28,7508,55
399,1968,Kentucky State University,KY,1,NaN,NaN,NaN,NaN,348,480,290,415,16,20,1636,952,424,6,22,1544,896,1340,4120,2682,1456,1226,100,510,NaN,60,61,15,NaN,8372,19
400,1969,Kentucky Wesleyan College,KY,2,450,410,860,22,410,540,360,490,19,25,584,497,175,20,49,662,121,8000,8000,4150,2300,1850,200,500,1300,57,65,11.3,32,7058,62
401,1972,Lindsey Wilson College,KY,2,NaN,NaN,NaN,18,NaN,NaN,NaN,NaN,NaN,NaN,1089,865,382,NaN,NaN,1006,164,6600,6600,3550,1400,2150,80,400,500,32,NaN,19.3,NaN,5067,NaN
402,1976,Morehead State University,KY,1,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,17,21,2825,2495,1300,NaN,NaN,6311,975,1580,4740,2950,NaN,NaN,320,500,1050,58,58,19.9,8,5175,52
403,1977,Murray State University,KY,1,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,19,24,2225,1910,1190,29,55,5968,955,1580,4738,3110,1290,1820,280,700,940,72,76,20.2,27,5972,52
404,1980,Pikeville College,KY,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,22,404,400,169,28,48,797,100,6000,6000,3000,3000,NaN,130,500,500,48,57,13.4,14,5557,61
405,1987,Transylvania University,KY,2,564,532,1096,26,500,650,460,610,23,29,759,729,244,57,81,867,51,10900,10900,4450,2480,1970,450,500,1000,81,91,12.1,41,10219,70
406,1988,Union College,KY,2,440,390,830,20,340,480,300,430,17,26,484,384,177,9,45,634,78,7800,7800,2950,2950,NaN,NaN,500,600,60,88,14.1,9,6864,64
407,1989,University of Kentucky,KY,1,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN,21,26,7769,5689,2675,NaN,NaN,14931,2596,2160,6640,3226,NaN,NaN,330,450,1340,95,97,12.2,12,11098,52
408,1999,University of Louisville,KY,1,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,4777,3057,1823,16,33,9844,6198,2180,6540,3600,NaN,NaN,210,530,2440,84,92,11.1,24,10207,31
409,2001,Thomas More College,KY,2,512,452,964,23,NaN,NaN,NaN,NaN,NaN,NaN,808,594,218,NaN,NaN,756,502,9490,9490,3892,2248,1644,110,400,880,65,55,10.5,18,7678,66
410,2002,Western Kentucky University,KY,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,23,4441,3260,2082,NaN,NaN,10264,2910,1801,4961,3149,1316,1833,221,500,1100,66,70,19.1,10,5063,45
411,9275,Northern Kentucky University,KY,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,22,2920,2506,1682,NaN,NaN,7112,3832,1720,4720,2900,2900,NaN,NaN,500,500,66,77,17.7,20,4745,52
412,2003,Centenary College of Louisiana,LA,2,550,500,1060,25,460,610,440,570,22,28,495,434,210,35,55,775,44,8950,8950,3490,1470,2020,306,600,1900,86,92,11.3,25,9685,66
413,2004,Dillard University,LA,2,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,1998,1376,651,41,88,1539,45,6700,6700,3650,NaN,NaN,NaN,500,2307,52,52,14.1,12,7566,61
414,2005,Nicholls State University,LA,1,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,16,21,2020,1898,1092,NaN,NaN,4921,1338,1980,4572,2550,NaN,NaN,37,600,2307,65,65,21.8,NaN,4466,36
415,2006,Grambling State University,LA,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,18,4847,3518,1900,27,65,6567,261,1044,1044,1306,775,531,12,500,1200,46,44,24.6,NaN,5034,58
416,2007,Louisiana College,LA,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,23,2013,1053,212,33,61,912,158,5150,5150,3036,NaN,NaN,420,500,1655,64,74,10.5,11,7547,59
417,2008,Louisiana Tech University,LA,1,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,19,25,2397,2144,1525,22,45,6720,1822,2262,3957,2325,1245,1080,NaN,618,1656,66,77,20,13,4546,45
418,2010,Louisiana State University at Baton Rouge,LA,1,529,468,997,23,460,610,400,540,20,26,5996,4993,3079,29,57,16269,3757,2625,5925,2980,1720,1260,75,600,2242,83,87,15.9,11,6741,37
419,2013,Louisiana State University at Shreveport,LA,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,22,675,645,500,NaN,NaN,2413,1477,1950,4990,1680,NaN,1680,130,617,2307,62,75,18.1,NaN,4287,35
420,2015,University of New Orleans,LA,1,500,447,947,21,NaN,NaN,NaN,NaN,18,23,2406,2139,1501,NaN,NaN,8158,3643,2362,5154,3116,1557,1566,NaN,800,1790,75,75,17.9,11,5260,19
421,2016,Loyola University,LA,2,540,510,1050,25,480,590,440,570,23,27,1891,1698,719,24,80,2740,761,11100,11100,5870,2980,2890,190,600,750,77,88,11.7,14,9456,53
422,2017,McNeese State University,LA,1,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,16,21,2066,2031,1525,NaN,NaN,6020,1317,1966,3450,2310,1110,1200,NaN,650,1608,69,73,21.1,12,3976,34
423,2020,Northeast Louisiana University,LA,1,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,16,22,2963,2814,1840,NaN,41,8718,1707,1644,3804,1980,NaN,NaN,282,617,1655,57,61,20.6,17,4092,21
424,2021,Northwestern State University of Louisiana,LA,1,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,16,22,2671,2671,1330,NaN,NaN,5742,1969,2040,4040,2216,1236,980,143,500,1600,67,69,29.5,11,4587,33
425,2023,Our Lady of Holy Cross College,LA,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,246,217,171,NaN,NaN,674,472,4400,4400,NaN,NaN,NaN,95,534,NaN,72,83,16.1,NaN,5053,73
426,2024,Southeastern Louisiana University,LA,1,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,3247,3247,2297,NaN,NaN,9724,2192,1910,3854,2230,1030,1200,NaN,250,NaN,61,61,24.3,13,3666,29
427,2026,Southern University at New Orleans,LA,1,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN,10,18,900,900,490,10,30,2911,1089,1451,3009,NaN,NaN,NaN,NaN,600,NaN,62,68,19.6,NaN,4355,35
428,2029,Tulane University,LA,2,NaN,NaN,NaN,NaN,560,670,490,616,NaN,NaN,7033,5125,1223,47,75,4941,1534,19040,19040,5950,2690,3260,510,350,800,98,98,9.1,21,16920,74
429,2031,University of Southwestern Louisiana,LA,1,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,16,21,4299,4250,2664,NaN,NaN,11767,3219,1898,4898,2082,NaN,NaN,NaN,560,NaN,63,67,22.7,9,4099,30
430,2032,Xavier University of Louisiana,LA,2,469,438,890,21,395,535,375,496,18,23,2097,1915,695,34,61,2793,166,6900,6900,4200,NaN,NaN,200,617,781,67,75,14.4,20,8323,49
431,9636,Southern University and A & M College,LA,1,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN,14,18,2431,2416,1711,37,45,7534,775,2028,3950,2982,1208,1508,NaN,600,600,50,50,15.9,NaN,5244,33
432,2114,American International College,MA,2,NaN,NaN,NaN,NaN,380,510,370,490,NaN,NaN,1420,1093,220,9,22,1018,287,8700,8700,4780,4780,NaN,480,450,1400,78,84,14.7,19,7355,69
433,2115,Amherst College,MA,2,685,639,1324,25,640,740,600,690,28,32,4302,992,418,83,96,1593,5,19760,19760,5300,2650,2650,272,660,1598,93,98,8.4,63,21424,100
434,2117,Anna Maria College,MA,2,NaN,NaN,NaN,NaN,420,490,410,480,NaN,NaN,350,283,82,9,34,367,406,10800,10800,4835,NaN,NaN,550,500,NaN,45,45,11.7,13,5982,82
435,2118,Assumption College,MA,2,NaN,NaN,NaN,NaN,430,530,400,500,NaN,NaN,2135,1700,491,23,59,1708,689,12000,12000,5920,NaN,NaN,125,500,500,93,93,13.8,30,7100,88
436,2120,Merrimack College,MA,2,520,480,1000,NaN,470,530,430,520,NaN,NaN,1981,1541,514,18,36,1927,1084,12500,12500,6200,2750,3450,175,375,1000,73,75,16.8,22,8707,80
437,2121,Babson College,MA,2,NaN,NaN,NaN,NaN,520,630,430,530,NaN,NaN,2007,1139,407,30,68,1680,NaN,16600,16600,6985,2495,4490,660,500,1045,93,93,16.8,18,15286,94
438,2124,Bentley College,MA,2,NaN,NaN,NaN,NaN,480,600,400,500,NaN,NaN,3466,2330,640,20,60,3095,1533,13800,13800,5510,2730,2780,65,630,850,87,87,17.5,20,10941,82
439,2126,Berklee College of Music,MA,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1975,1516,712,NaN,NaN,2223,304,11550,11550,6990,NaN,NaN,385,400,1115,15,54,10.2,2,9719,38
440,2128,Boston College,MA,2,NaN,NaN,NaN,NaN,600,690,520,610,NaN,NaN,13112,6179,2154,66,94,8807,NaN,16640,16640,6960,3130,3830,448,500,1300,95,95,16.6,27,10989,90
441,2130,Boston University,MA,2,600,550,1150,26,550,650,500,600,24,29,20192,13007,3810,45,80,14971,3113,18420,18420,6810,3920,2890,270,475,1025,80,81,11.9,16,16836,72
442,2132,Bradford College,MA,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,443,330,151,5,36,453,42,14080,14080,6270,3500,2750,260,500,900,57,80,10.2,21,15387,46
443,2133,Brandeis University,MA,2,NaN,NaN,NaN,NaN,570,690,530,640,NaN,NaN,4186,2743,740,48,77,2819,62,19380,19380,6750,3500,3250,450,410,1000,90,97,9.8,24,17150,84
444,2139,Clark University,MA,2,NaN,NaN,NaN,NaN,500,630,440,560,NaN,NaN,2887,2059,457,30,61,1928,296,17500,17500,4200,2000,2200,440,500,950,94,95,10.5,35,11951,79
445,2140,Elms College,MA,2,450,440,890,NaN,420,440,420,440,NaN,NaN,245,208,125,23,46,544,436,11800,11800,4765,4765,NaN,400,450,1700,71,71,11.3,21,8952,86
446,2141,College of the Holy Cross,MA,2,627,573,1200,NaN,590,670,550,640,NaN,NaN,2994,1691,659,70,95,2675,22,18000,18000,6300,6300,NaN,355,400,900,92,96,11.3,55,12138,95
447,2143,Curry College,MA,2,420,390,810,NaN,340,460,340,450,NaN,NaN,1224,936,283,5,25,891,332,13600,13600,5450,3050,2400,500,600,NaN,39,39,8.7,17,11992,58
448,2145,Eastern Nazarene College,MA,2,512,468,980,NaN,440,580,410,530,NaN,NaN,516,409,200,17,40,1238,30,8770,8770,3500,3500,NaN,590,450,700,58,58,17.3,17,6430,70
449,2146,Emerson College,MA,2,505,515,1020,NaN,450,570,460,570,NaN,NaN,1849,1228,492,19,51,2025,169,15200,15200,7782,4590,3192,348,500,933,NaN,88,18,NaN,10602,62
450,2148,Endicott College,MA,2,401,381,782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,858,319,10,29,665,298,11455,11455,6130,NaN,NaN,250,400,1000,33,59,12.3,14,NaN,NaN
451,2153,Gordon College,MA,2,509,483,992,NaN,440,580,420,540,NaN,NaN,674,565,282,25,54,1151,39,12200,12200,4070,1470,2600,520,400,1200,73,82,14.2,32,9226,66
452,2155,Harvard University,MA,2,NaN,NaN,NaN,NaN,680,770,630,720,NaN,NaN,13865,2165,1606,90,100,6862,320,18485,18485,6410,3370,3040,1335,500,1920,97,97,9.9,52,37219,100
453,2158,Lasell College,MA,2,390,410,800,NaN,320,430,340,440,NaN,NaN,618,540,171,8,21,470,59,11475,11475,6200,NaN,NaN,525,600,2150,32,56,9.1,23,10066,NaN
454,2160,Lesley College,MA,2,435,411,846,NaN,370,490,360,470,NaN,NaN,244,198,82,12,33,1134,336,11700,11700,5300,2100,3200,120,550,805,71,88,27.8,18,8694,58
455,2161,University of Massachusetts at Lowell,MA,1,504,447,951,NaN,440,550,400,490,NaN,NaN,3986,3026,1093,8,29,5740,4182,4694,9838,4164,1774,2390,NaN,500,1160,81,84,16.1,NaN,7607,53
456,2178,Massachusetts Institute of Technology,MA,2,742,639,1381,31,720,780,570,690,29,33,6411,2140,1078,96,99,4481,28,20100,20100,5975,3200,2775,600,725,1600,99,99,10.1,35,33541,94
